"","mach","narc","psyc"
"461",22,9,8
"462",29,11,4
"463",27,11,8
"464",41,9,16
"465",36,17,8
"466",38,21,14
"467",39,9,12
"468",32,11,10
"469",42,7,27
"470",32,4,16
"471",43,3,20
"472",15,-6,0
"473",20,9,4
"474",33,3,20
"475",37,9,6
"476",38,6,18
"477",40,11,12
"478",32,8,12
"479",40,12,11
"480",40,18,28
"481",34,10,10
"482",31,20,7
"483",28,0,24
"484",39,4,12
"485",45,12,22
"486",35,12,9
"487",37,12,13
"488",31,5,15
"489",32,6,8
"490",33,-1,11
"491",35,8,13
"492",29,5,6
"493",19,2,10
"494",25,1,8
"495",30,11,13
"496",15,7,1
"497",29,2,10
"498",33,5,18
"499",42,26,20
"500",33,7,15
"501",39,6,5
"502",38,13,14
"503",37,18,13
"504",34,14,7
"505",27,5,6
"506",33,9,9
"507",16,-2,3
"508",27,7,4
"509",38,15,30
"510",36,11,13
"511",33,12,21
"512",31,9,23
"513",29,6,13
"514",43,12,26
"515",32,11,19
"516",32,16,7
"517",27,10,8
"518",43,3,12
"519",17,9,1
"520",38,19,17
"521",32,9,12
"522",34,10,11
"523",22,-6,1
"524",36,14,16
"525",38,14,19
"526",24,14,9
"527",31,9,12
"528",37,18,11
"529",42,24,28
"530",31,2,16
"531",33,3,13
"532",41,3,23
"533",34,12,10
"534",29,19,29
"535",19,4,4
"536",32,13,22
"537",36,4,4
"538",45,23,22
"539",38,6,12
"540",30,4,6
"541",32,-1,5
"542",34,3,7
"543",43,24,19
"544",40,15,21
"545",31,0,3
"546",39,6,14
"547",20,3,4
"548",20,17,5
"549",34,1,11
"550",41,20,17
"551",35,9,13
"552",24,4,12
"553",33,10,12
"554",29,8,6
"555",30,8,16
"556",43,26,25
"557",34,5,13
"558",36,12,11
"559",45,14,18
"560",29,-5,4
"561",33,5,20
"562",42,14,13
"563",33,17,17
"564",43,6,18
"565",35,14,18
"566",45,22,20
"567",34,13,19
"568",39,12,15
"569",35,5,15
"570",37,11,15
"571",15,4,7
"572",35,11,9
"573",22,6,7
"574",27,6,14
"575",38,7,15
"576",40,23,25
"577",23,2,7
"578",34,4,13
"579",39,13,28
"580",12,0,1
"581",42,23,24
"582",34,4,11
"583",41,18,22
"584",37,22,19
"585",39,9,9
"586",29,5,6
"587",22,11,1
"588",29,-5,12
"589",39,15,20
"590",27,-3,7
"591",38,3,7
"592",38,20,21
"593",40,20,13
"594",44,13,26
"595",36,1,7
"596",28,-1,4
"597",36,13,15
"598",38,17,17
"599",45,9,12
"600",44,20,26
"601",35,13,19
"602",38,21,18
"603",36,7,13
"604",28,-5,7
"605",32,17,20
"606",26,0,8
"607",43,17,21
"608",41,13,11
"609",40,18,22
"610",44,12,21
"611",20,2,2
"612",38,17,24
"613",36,14,15
"614",27,5,3
"615",33,11,19
"616",21,-6,7
"617",37,14,5
"618",25,8,3
"619",34,-3,8
"620",43,13,22
"621",33,4,19
"622",34,12,6
"623",31,13,10
"624",28,5,9
"625",29,16,1
"626",30,7,11
"627",38,16,22
"628",39,18,21
"629",18,-1,4
"630",32,6,9
"631",41,19,25
"632",45,11,23
"633",21,-2,-3
"634",19,0,3
"635",21,6,-1
"636",37,2,3
"637",33,7,14
"638",21,4,1
"639",45,25,25
"640",37,13,8
"641",16,8,12
"642",23,10,3
"643",35,9,7
"644",24,-5,1
"645",36,7,12
"646",32,14,14
"647",38,4,18
"648",20,11,-1
"649",38,17,17
"650",31,10,6
"651",31,-3,18
"652",24,4,2
"653",39,16,14
"654",35,2,16
"655",40,9,22
"656",39,17,20
"657",37,13,27
"658",33,0,10
"659",21,0,5
"660",39,18,18
"661",24,6,4
"662",36,3,10
"663",34,21,9
"664",34,21,21
"665",32,2,13
"666",29,9,11
"667",31,6,11
"668",43,11,26
"669",31,8,8
"670",40,6,11
"671",38,4,13
"672",27,4,11
"673",36,13,18
"674",42,18,21
"675",32,11,21
"676",37,3,11
"677",39,22,30
"678",36,9,11
"679",35,-1,8
"680",41,15,22
"681",33,11,14
"682",45,19,19
"683",28,8,8
"684",45,16,22
"685",24,9,7
"686",37,8,22
"687",18,1,6
"688",40,23,22
"689",33,5,0
"690",23,1,13
"691",33,14,28
"692",38,16,16
"693",42,7,20
"694",40,16,25
"695",33,4,11
"696",29,13,9
"697",35,7,20
"698",34,13,9
